rock_shoe_model,category_a,category_b,category_c,category_d,foot_volume,foot_type
Boreal Ace,Drop 2 UK Sizes,Drop 1.5 UK Sizes,Drop 1 UK Size,Drop 0.5 UK Size,High,Classic
Boreal Alpha VC,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,High,Classic
Boreal Beta Wmns,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Classic
Boreal Beta,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Classic
Boreal Indo,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,High,Centre
Boreal Indo Womens,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Medium,Centre
Boreal Joker Lace,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,High,Classic
Boreal Joker Lace Womens,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Classic
Boreal Joker Plus Velcro,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,High,Classic
Boreal Lynx,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe size,-,High,Classic
Boreal Lynx Wmns,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe size,-,High,Classic
Boreal Ninja,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Medium,Classic
Boreal Satori,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,-,Medium,Classic
Boreal Silex Lace,-,Drop 1.5 UK Size,Drop 1 UK Size,Buy Shoe Size,Medium,Classic
Boreal Silex VC,-,Drop 1.5 UK Size,Drop 1 UK Size,Buy Shoe Size,Medium,Classic
EB Balboa,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,-,Medium,Classic
EB Black Opium,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Buy 0.5 EU Size Larger,Low,Classic
EB Django 3.0,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Buy 0.5 EU Size Larger,Low,Classic
EB Electron,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Buy 0.5 EU Size Larger,Medium,Classic
EB Guardian 3.0,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Buy 0.5 EU Size Larger,Low,Classic
EB Nebula,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,-,Low,Classic
EB Red,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Buy 0.5 EU Size Larger,Medium,Classic
Evolv Defy,-,Buy 0.5 UK Size Larger,Buy1 UK Size Larger,Buy 1.5 UK Size Larger,High,Classic
Evolv Defy Lace (2021),-,Buy0.5 UK Size Larger,Buy1 UK Size Larger,Buy 1.5 UK Size Larger,High,Classic
Evolv Elektra,-,Buy0.5 UK Size Larger,Buy1 UK Size Larger,Buy1.5 UK Size Larger,Medium,Classic
Evolv Elektra Lace,-,Buy0.5 UK Size Larger,Buy1 UK Size Larger,Buy1.5 UK Size Larger,Medium,Classic
Evolv Geshido Lace (2021),Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Medium,Classic
Evolv Geshido Lace Wmns (2021),Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Low,Classic
Evolv Geshido VC (2021),Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Medium,Classic
Evolv Geshido VC Wmns (2021),Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Low,Classic
Evolv Kira,BuyShoe Size,Buy0.5 UK Size Larger,Buy1 UK Size Larger,Buy1.5 UK Size Larger,Low,centre
Evolv Kronos,BuyShoe Size,Buy0.5 UK Size Larger,Buy1 UK Size Larger,Buy1.5 UK Size Larger,Medium,Centre
Evolv Phantom,Buy Shoe Size,Buy 0.5 Size Larger,Buy 1 Size Larger,-,Medium,Classic
Evolv Phantom LV,Buy Shoe Size,Buy 0.5 Size Larger,Buy1Size Larger,-,Low,Classic
Evolv Shaman,Buy Shoe Size,Buy 0.5 Size Larger,Buy1Size Larger,,Medium,Classic
Evolv Shaman LV,Buy Shoe Size,Buy 0.5 Size Larger,Buy1Size Larger,,Low,Classic
Evolv Shaman Lace,Buy Shoe Size,Buy 0.5 Size Larger,Buy1Size Larger,,Low,Classic
Evolv Shaman Lace LV,Buy Shoe Size,Buy 0.5 Size Larger,Buy1Size Larger,,Low,Classic
Evolv Shaman Pro,Buy Shoe Size,Buy 0.5 Size Larger,Buy1Size Larger,-,Low,Classic
Evolv Shaman Pro LV,Buy Shoe Size,Buy 0.5 Size Larger,Buy1Size Larger,-,Low,Classic
Evolv X1,Buy Shoe Size,Buy 0.5 UK Size Larger,-,-,Medium,Centre
Evolv Zenist,Buy Shoe Size,Buy 0.5 Size Larger,Buy1Size Larger,-,Medium,Classic
Evolv Zenist Wmns,Buy Shoe Size,Buy 0.5 Size Larger,Buy1Size Larger,-,Low,Classic
Evolv Zenist Pro,Buy Shoe Size,Buy 0.5 Size Larger,Buy1Size Larger,-,Medium,Classic
Five Ten Aleon,Buy Shoe Size,Buy 0.5 UK Size Larger,-,-,Medium,Centre
Five Ten Crawe,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Medium,Classic
Five Ten Anasazi Guide,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Buy Shoe Size,-,-
Five Ten Anasazi VCS (2020),Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Medium,Centre
Five Ten Anasazi Blanco,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,-,Medium,Centre
Five Ten Anasazi LV2,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Low,Centre
Five Ten Dragon,Drop 1 UK Size,Drop 0.5 UK Size,-,-,Medium,Centre
Five Ten Hiangle Synthetic,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,-,Medium,Centre
Five Ten Hiangle,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,-,Low,Centre
Five Ten Hiangle Wmns,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,-,Low,Centre
Five Ten Hiangle Pro,Buy Shoe Size,Buy 1 UK Size Larger,Buy 1.5 UK Size Larger,-,Medium,Centre
Five Ten Kirigami,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Medium,Classic
Five Ten Kirigami Wmns,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Low,Classic
Five Ten Niad VCS,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Buy 1.5 UK Size Larger,Medium,Centre
Five Ten Niad VCS Wmns,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Buy 1.5 UK Size Larger,Low,Centre
Five Ten Niad Lace,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Medium,Centre
Five Ten Niad Lace Wmns,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Medium,Centre
Five Ten Quantum VCS,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Medium,Classic
Five Ten Quantum Lace,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Medium,Centre
La Sportiva Finale,Drop 2.5 EU Sizes,Drop 2 EU Sizes,Drop 1 EU Size,Buy Shoe Size,High,Classic
La Sportiva Finale Women's,Drop 2.5 EU Sizes,Drop 2 EU Sizes,Drop 1 EU Size,Buy Shoe Size,High,Classic
La Sportiva Futura,Drop 2.5 EU Sizes,Drop 1.5 EU Sizes,-,-,Low,Classic
La Sportiva Genius,Drop 2.5 EU Sizes,Drop 1.5 EU Sizes,-,-,Medium,Classic
La Sportiva Katana2023,Drop 3.5 EU Sizes,Drop 3 EU Sizes,Drop 2 EU Sizes,Drop 1 EU Size,Low,Classic
La Sportiva Katana 2024,Drop 3 EU Sizes,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Low,
La Sportiva Katana Womens 2024,Drop 3 EU Sizes,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Low,
La Sportiva Katana Lace,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Medium,Classic
La Sportiva Kataki,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Medium,Classic
La Sportiva Kubo,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Medium,Classic
La Sportiva Kubo Wmns,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Medium,Classic
La Sportiva Mandala,Drop 2 EU,Drop 1.5 EU,Drop 1 EU,-,Medium,
La Sportiva Mantra,Drop 2.5 EU Sizes,Drop 2 EU Sizes,Drop 1.5 EU Sizes,-,Low,Classic
La Sportiva Miura,Drop 3 EU Sizes,Drop 2.5 EU Sizes,Drop 1.5 EU Size,Drop 0.5 EU Size,Medium,Classic
La Sportiva Miura VS,Drop 3.5 EU Sizes,Drop 3 EU Sizes,Drop 2 EU Sizes,NA,Medium,Classic
La Sportiva Mythos,-,Drop 2 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Medium,Centre
La Sportiva Ondra Comp,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Sizes,-,Medium,Classic
La Sportiva Otaki,Drop 2.5 EU Sizes,Drop 1.5 EU size,-,-,Medium,Classic
La Sportiva Skwama,Drop 2.5 EU Sizes,Drop 1.5 EU size,-,NA,Medium,Classic
La Sportiva Skwama Vegan,Drop 2.5 EU Sizes,Drop 1.5 EU size,-,-,Medium,Classic
La Sportiva Skwama Wmns,Drop 2.5 EU Sizes,Drop 1.5 EU size,-,-,Medium,Classic
La Sportiva Solution,Drop 2.5 EU Sizes,Drop 1.5 EU size,-,-,Medium,Classic
La Sportiva Solution Wmns,Drop 2.5 EU Sizes,Drop 1.5 EU size,-,-,Medium,Classic
La Sportiva Solution Comp,Drop 2.5 EU Sizes,Drop 1.5 EU size,-,-,Medium,Classic
La Sportiva Solution Comp Wmns,Drop 2.5 EU Sizes,Drop 1.5 EU size,-,-,Medium,Classic
La Sportiva Tarantula,-,Drop 2.5 EU Sizes,Drop 2 EU Size,Drop 1.5 EU Size,Medium,Classic
La Sportiva Tarantula Boulder,-,Drop 2.5 EU Size,Drop 2 EU Size,Drop 1.5 EU Size,High,Centre
La Sportiva Tarantula Boulder Wmns,-,Drop 2.5 EU Size,Drop 2 EU Size,Drop 1.5 EU Size,High,Centre
La Sportiva TC Pro,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Medium,Classic
La Sportiva Testarossa,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,-,Medium,Classic
La Sportiva Theory,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,-,Medium,Classic
La Sportiva Theory Womens,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,-,Medium,Classic
La Sportiva Zenit,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Medium,Centre
La Sportiva Zenit Wmns,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Medium,Centre
Red Chili Circuit VCR,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Medium,Centre
Red Chili Clue,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Low,Classic
Red Chili Durango VCR,-,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK size Larger,Medium,Centre
Red Chili Durango Lace,-,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK size Larger,Medium,Centre
Red Chili Fusion II,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Centre
Red Chili Fusion LV II,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Low,Centre
Red Chili Magnet,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,High,Classic
Red Chili Mystix,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Classic
Red Chili Sensor,Drop 2 UK Size,Drop 1.5 UK Size,Drop 0.5 UK Size,-,Low,Centre
Red Chili Spirit,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Centre
Red Chili Spirit LV,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Low,Centre
Red Chili Ventic Air Lace,-,-,Drop 1.5 UK Size,Drop 1 UK Size,Medium,Classic
Red Chili Voltage,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Centre
Red Chili Voltage 2,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Centre
Red Chili Voltage LV,Drop 2 UK Size,Drop 1.5 UK Size,Drop 1 UK Size,Buy Shoe Size,Low,Centre
Scarpa Arpia,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Centre
Scarpa Booster S,Drop 2 EU Sizes,Drop 1.5 EU Size,Drop 0.5 EU Size,-,Medium,Classic
Scarpa Booster,Drop 2 EU Sizes,Drop 1.5 EU Size,Drop 0.5 EU Size,-,Low,Classic
Scarpa Boostic,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,-,Medium,Classic
Scarpa Chimera (2020),Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 0.5 EU Size,-,Low,Classic
Scarpa Chimera,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 0.5 EU Size,-,Low,Classic
Scarpa Drago,Drop 2 EU Sizes,Drop 1.5 EU Sizes,-,-,Medium,Classic
Scarpa Drago LV,Drop 2 EU Sizes,Drop 1.5 EU Sizes,-,-,Low,Classic
Scarpa Drago XT,Drop 2 EU Sizes,Drop 1.5 EU Sizes,-,-,Low,Classic
Scarpa Furia Air,Drop 3 EU Sizes,Drop 2.5 EU Sizes,-,-,Low,Classic
Scarpa Furia S,Drop 2 EU Sizes,Drop 1.5 EU Sizes,-,-,Low,Classic
Scarpa Furia,Drop 2 EU Sizes,Drop 1.5 EU Sizes,-,-,Low,Classic
Scarpa Force V,-,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,High,Centre
Scarpa Force X,-,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,High,Centre
Scarpa Force X Wmns,-,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Generator Mid,-,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,High,Centre
Scarpa Instinct VS/VSR,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,-,High,Centre
Scarpa Instinct VS Wmns,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,-,Medium,Centre
Scarpa Instinct Lace,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 0.5 EU Size,-,High,Centre
Scarpa Instinct Lace Wmns,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,-,Medium,Centre
Scarpa Instinct S,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,-,Medium,Centre
Scarpa Instinct SR,Drop 1.5 EU Sizes,Drop  EU Sizes,Drop 0.5 EU Size,-,Medium,Centre
Scarpa Maestro,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Maestro Mid,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Sizes,Buy Shoe Size,Medium,Centre
Scarpa Maestro Wmns,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Low,Centre
Scarpa Maestro Pro,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Buy 0.5 Size Bigger,Medium,Centre
Scarpa Maestro Pro Wmns,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Buy 0.5 Size Bigger,Low,Centre
Scarpa Maestro Mid,Drop 1.5 EU Sizes,Drop 1.5 EU Sizes,Drop 0.5 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Maestro Alpine,Drop 1.5 EU Sizes,Drop 1.5 EU Sizes,Drop 0.5 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Mago,Drop 1 EU Size,Drop 05 EU Size,Buy Shoe Size,-,Medium,Centre
Scarpa Origin VS,-,Drop 2 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Origin VS Womens,-,Drop 2 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Reflex V,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Vapour Lace Men's,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Vapour Lace Women's,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Low,Centre
Scarpa Vapour S,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Low,Classic
Scarpa Vapour S Women's,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Low,Classic
Scarpa Vapour V,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Vapour V LV,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Low,Centre
Scarpa Veloce,Drop 2.5 EU Sizes,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,High,Square
Scarpa Veloce Wmns,Drop 2.5 EU Sizes,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Medium,Square
Scarpa Velocity V,-,Drop 1 EU Size,Drop 1 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Velocity V Wmns,-,Drop 1 EU Size,Drop 1 EU Size,Buy Shoe Size,Medium,Centre
Tenaya Iati,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Centre
Tenaya Indalo,Drop 2 UK Size,Drop 1.5 UK Size,Drop 1 UK Size,-,Low,Centre
Tenaya Inti,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Low,Centre
Tenaya Masai,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Low,Classic
Tenaya Mastia,Drop 2.5 UK Sizes,Drop 2 UK Sizes,Drop 1.5 UK size,-,Medium,Classic
Tenaya Oasi,Drop 2.5 UK Size,Drop 2 UK Size,-,-,Medium,Classic
Tenaya Oasi LV,Drop 2.5 UK Size,Drop 2 UK Size,-,-,Low,Classic
Tenaya Ra,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,-,Medium,Classic
Tenaya Tarifa,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,-,Medium,Classic
Unparallel Flagship Pro,,,,-,Medium,Centre
Unparallel Up Lace,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Medium,Centre
Unparallel Up Lace LV,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Low,Centre
Unparallel Lyra,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,-,Low,Centre
Unparallel NewTro Lace,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Low,Centre
Unparallel Regulus,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,-,Medium,Centre
Unparallel Sirus,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,-,Low,Centre
Unparallel Souped UP,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Low,Centre
Unparallel TN Pro,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,-,Medium,Centre
Unparallel TN Pro LV,,,,-,Medium,Centre
Unparallel Qubit,,,,-,Medium,Centre
